item_id,name,critical_short,spillover_new,asterisk,pro,verb_match,adj,np,bio,bio_spr,orig_name,name_lenth,gender,lifetime,lifetime_distractor,orig_life_status,type,tense,mm,orig_list,list,match,bare,orig_bare,nationality,nationality_distractor,occupation,occupation_distractor,Unique_ID,prac_correct,prac_incorrect
2,Richard Nixon,He*has appeared*in prominent*political debates.,His election received international attention.,4,He,has appeared,in prominent,political debates,Richard Nixon was an American politician. He died in New York.,Richard Nixon*was*an American*politician.*He*died*in New York.,Richard Nixon,13,male,dead,alive,dead,critical,PP,deadPP,1,1,no,appear,appear,American,British,politican,activist,12111,crit,crit
2,Richard Nixon,He*appeared*in prominent*political debates.,His election received international attention.,4,He,appeared,in prominent,political debates,Richard Nixon was an American politician. He died in New York.,Richard Nixon*was*an American*politician.*He*died*in New York.,Richard Nixon,13,male,dead,alive,dead,critical,PS,deadPS,2,2,no,appear,appear,American,British,politican,activist,12122,crit,crit
2,Glenn Lockhart,He*has appeared*in prominent*political debates.,His election received international attention.,4,He,has appeared,in prominent,political debates,fake,fake,Glenn Lockhart,14,male,fake,fake,fake,critical,PP,fakePP,,3,no,appear,appear,Australian,Canadian,politican,activist,,crit,crit
2,Glenn Lockhart,He*appeared*in prominent*political debates.,His election received international attention.,4,He,appeared,in prominent,political debates,fake,fake,Glenn Lockhart,14,male,fake,fake,fake,critical,PS,fakePS,,4,no,appear,appear,Australian,Canadian,politican,activist,,crit,crit
2,Justin Trudeau,He*has appeared*in prominent*political debates.,His election received international attention.,4,He,has appeared,in prominent,political debates,Justin Trudeau is a Canadian politician. He lives in Ottawa.,Justin Trudeau*is*a Canadian*politician.*He*lives*in Ottawa.,Justin Trudeau,14,male,alive,dead,living,critical,PP,livingPP,3,5,yes,appear,appear,Canadian,American,politican,activist,12013,crit,crit
2,Justin Trudeau,He*appeared*in prominent*political debates.,His election received international attention.,4,He,appeared,in prominent,political debates,Justin Trudeau is a Canadian politician. He lives in Ottawa.,Justin Trudeau*is*a Canadian*politician.*He*lives*in Ottawa.,Justin Trudeau,14,male,alive,dead,living,critical,PS,livingPS,4,6,yes,appear,appear,Canadian,American,politican,activist,12024,crit,crit
5,Emma Thompson,She*appeared*in popular*classic films.,Critics raved about her romantic comedies.,,She,appeared,in popular,,Emma Thompson is a British actor. She lives in London.,Emma Thompson is a British actor. She lives in London.,Emma Thompson,,female,alive,dead,living,critical,PS,livingPS,,1,,appear,appear,British,Irish,actor,singer,,crit,crit
5,Marilyn Monroe,She*has appeared*in popular*classic films.,Critics raved about her romantic comedies.,,She,has appeared,in popular,,Marilyn Monroe was an American actor. She died in Los Angeles.,Marilyn Monroe was an American actor. She died in Los Angeles.,Marilyn Monroe,,female,dead,alive,dead,critical,PP,deadPP,,2,,appear,appear,British,Irish,actor,singer,,crit,crit
5,Marilyn Monroe,She*appeared*in popular*classic films.,Critics raved about her romantic comedies.,,She,appeared,in popular,,Marilyn Monroe was an American actor. She died in Los Angeles.,Marilyn Monroe was an American actor. She died in Los Angeles.,Marilyn Monroe,,female,dead,alive,dead,critical,PS,deadPS,,3,yes,appear,appear,British,Irish,actor,singer,,crit,crit
5,Natasha Fonseka,She*has appeared*in popular*classic films.,Critics raved about her romantic comedies.,,She,has appeared,in popular,,fake,fake,Natasha Fonseka,,female,fake,fake,fake,critical,PP,fakePP,,4,,appear,appear,British,Irish,actor,singer,,crit,crit
5,Natasha Fonseka,She*appeared*in popular*classic films.,Critics raved about her romantic comedies.,,She,appeared,in popular,,fake,fake,Natasha Fonseka,,female,fake,fake,fake,critical,PS,fakePS,,5,,appear,appear,British,Irish,actor,singer,,crit,crit
5,Emma Thompson,She*has appeared*in popular*classic films.,Critics raved about her romantic comedies.,,She,has appeared,in popular,,Emma Thompson is a British actor. She lives in London.,Emma Thompson is a British actor. She lives in London.,Emma Thompson,,female,alive,dead,living,critical,PP,livingPP,,6,,appear,appear,British,Irish,actor,singer,,crit,crit
